iter	Passed	Remaining
0	191	191541
1	218	108964
2	250	83150
3	299	74596
4	329	65485
5	360	59749
6	399	56701
7	438	54338
8	478	52646
9	520	51489
10	559	50334
11	637	52459
12	670	50934
13	695	49005
14	728	47837
15	751	46205
16	800	46275
17	842	45944
18	881	45496
19	927	45446
20	967	45111
21	1029	45748
22	1066	45292
23	1085	44150
24	1131	44109
25	1174	43992
26	1208	43533
27	1235	42882
28	1253	41956
29	1309	42327
30	1347	42125
31	1381	41780
32	1404	41144
33	1424	40476
34	1441	39754
35	1474	39494
36	1504	39160
37	1539	38976
38	1586	39088
39	1611	38664
40	1646	38506
41	1692	38604
42	1718	38244
43	1738	37775
44	1767	37518
45	1811	37571
46	1836	37239
47	1876	37210
48	1913	37143
49	1944	36943
50	1990	37043
51	2070	37748
52	2122	37924
53	2190	38381
54	2224	38223
55	2282	38478
56	2359	39031
57	2404	39048
58	2446	39012
59	2488	38988
60	2530	38959
61	2572	38915
62	2599	38655
63	2637	38579
64	2673	38463
65	2704	38271
66	2729	38014
67	2763	37882
68	2787	37607
69	2836	37691
70	2875	37628
71	2916	37590
72	2964	37651
73	3028	37901
74	3116	38436
75	3146	38258
76	3183	38164
77	3221	38077
78	3260	38010
79	3290	37837
80	3326	37739
81	3355	37569
82	3400	37567
83	3427	37379
84	3446	37099
85	3469	36876
86	3493	36661
87	3529	36579
88	3566	36501
89	3583	36235
90	3617	36133
91	3662	36145
92	3697	36064
93	3736	36014
94	3763	35856
95	3793	35718
96	3822	35580
97	3862	35546
98	3893	35438
99	3915	35237
100	3937	35050
101	3961	34880
102	3987	34724
103	4014	34588
104	4050	34526
105	4081	34427
106	4097	34197
107	4124	34068
108	4147	33901
109	4181	33828
110	4201	33648
111	4229	33536
112	4260	33440
113	4296	33390
114	4333	33350
115	4352	33167
116	4394	33165
117	4428	33099
118	4447	32928
119	4480	32855
120	4513	32787
121	4555	32786
122	4616	32915
123	4679	33058
124	4720	33041
125	4772	33105
126	4810	33065
127	4872	33190
128	4908	33139
129	4940	33063
130	4970	32972
131	4999	32878
132	5022	32740
133	5045	32608
134	5066	32464
135	5093	32359
136	5131	32326
137	5169	32291
138	5322	32969
139	5397	33157
140	5450	33203
141	5489	33170
142	5528	33132
143	5574	33138
144	5595	32996
145	5632	32948
146	5667	32888
147	5702	32826
148	5723	32687
149	5755	32613
150	5785	32528
151	5808	32407
152	5842	32341
153	5879	32299
154	5911	32228
155	5960	32249
156	5987	32151
157	6026	32115
158	6062	32067
159	6090	31976
160	6128	31934
161	6161	31873
162	6197	31822
163	6229	31756
164	6271	31737
165	6329	31801
166	6383	31838
167	6422	31808
168	6476	31847
169	6507	31773
170	6533	31675
171	6572	31638
172	6637	31729
173	6673	31678
174	6708	31624
175	6735	31532
176	6756	31417
177	6803	31418
178	6861	31469
179	6898	31428
180	6946	31431
181	6989	31414
182	7059	31517
183	7112	31543
184	7156	31527
185	7197	31500
186	7239	31472
187	7283	31459
188	7321	31416
189	7367	31409
190	7391	31306
191	7422	31235
192	7456	31179
193	7482	31085
194	7521	31049
195	7557	31001
196	7577	30887
197	7609	30821
198	7641	30756
199	7669	30679
200	7700	30610
201	7730	30539
202	7748	30422
203	7773	30332
204	7812	30298
205	7862	30306
206	7901	30271
207	7944	30248
208	7987	30230
209	8019	30169
210	8056	30125
211	8098	30103
212	8127	30028
213	8146	29922
214	8189	29902
215	8241	29914
216	8304	29965
217	8447	30301
218	8479	30238
219	8524	30222
220	8565	30191
221	8597	30129
222	8627	30059
223	8655	29986
224	8688	29926
225	8716	29852
226	8741	29766
227	8779	29726
228	8803	29640
229	8834	29577
230	8866	29517
231	8889	29426
232	8916	29352
233	8945	29282
234	8970	29201
235	9005	29151
236	9035	29088
237	9071	29043
238	9107	28997
239	9131	28916
240	9169	28877
241	9192	28791
242	9229	28751
243	9254	28673
244	9293	28639
245	9333	28608
246	9364	28547
247	9388	28467
248	9417	28402
249	9459	28377
250	9511	28383
251	9540	28320
252	9607	28367
253	9638	28308
254	9685	28296
255	9748	28330
256	9783	28283
257	9810	28214
258	9849	28179
259	9897	28168
260	9939	28143
261	9963	28064
262	10002	28030
263	10030	27964
264	10070	27932
265	10108	27894
266	10146	27854
267	10210	27888
268	10242	27832
269	10268	27763
270	10320	27762
271	10353	27711
272	10414	27732
273	10460	27715
274	10515	27722
275	10572	27733
276	10611	27697
277	10663	27693
278	10698	27648
279	10733	27600
280	10778	27579
281	10818	27543
282	10859	27513
283	10904	27491
284	10936	27438
285	10980	27412
286	11011	27355
287	11030	27268
288	11058	27207
289	11089	27151
290	11122	27099
291	11158	27055
292	11199	27024
293	11241	26994
294	11279	26956
295	11321	26927
296	11373	26920
297	11394	26841
298	11429	26796
299	11485	26798
300	11525	26765
301	11564	26728
302	11606	26698
303	11627	26620
304	11654	26557
305	11676	26483
306	11710	26433
307	11759	26419
308	11795	26378
309	11843	26361
310	11885	26332
311	11970	26395
312	12029	26404
313	12071	26372
314	12130	26379
315	12159	26319
316	12188	26261
317	12225	26219
318	12247	26145
319	12266	26067
320	12285	25986
321	12308	25917
322	12337	25859
323	12367	25803
324	12402	25758
325	12436	25711
326	12472	25670
327	12502	25614
328	12520	25536
329	12552	25485
330	12588	25443
331	12646	25445
332	12666	25371
333	12696	25316
334	12750	25310
335	12797	25290
336	12842	25265
337	12868	25203
338	12904	25161
339	12946	25130
340	12987	25098
341	13025	25060
342	13056	25009
343	13084	24951
344	13114	24898
345	13142	24840
346	13200	24841
347	13221	24772
348	13260	24734
349	13347	24788
350	13436	24843
351	13491	24837
352	13514	24769
353	13560	24746
354	13592	24695
355	13642	24679
356	13685	24648
357	13734	24629
358	13778	24601
359	13831	24589
360	13867	24546
361	13924	24541
362	13959	24495
363	13994	24451
364	14056	24454
365	14098	24421
366	14141	24391
367	14174	24343
368	14213	24306
369	14260	24280
370	14299	24244
371	14341	24211
372	14388	24186
373	14444	24177
374	14507	24178
375	14558	24161
376	14624	24167
377	14670	24139
378	14726	24129
379	14755	24074
380	14809	24060
381	14873	24063
382	14904	24011
383	14937	23962
384	14987	23940
385	15037	23920
386	15072	23874
387	15113	23838
388	15137	23776
389	15159	23710
390	15204	23681
391	15241	23640
392	15271	23586
393	15304	23539
394	15345	23504
395	15368	23441
396	15403	23395
397	15434	23345
398	15458	23283
399	15485	23228
400	15515	23177
401	15540	23116
402	15564	23057
403	15591	23001
404	15622	22952
405	15649	22896
406	15666	22826
407	15694	22772
408	15723	22720
409	15749	22664
410	15774	22605
411	15797	22545
412	15827	22495
413	15854	22441
414	15886	22394
415	15917	22346
416	15946	22294
417	15967	22232
418	15996	22181
419	16040	22150
420	16112	22159
421	16168	22145
422	16197	22094
423	16235	22056
424	16274	22017
425	16309	21975
426	16365	21961
427	16410	21932
428	16446	21890
429	16513	21889
430	16612	21931
431	16677	21928
432	16758	21944
